#NAME,SRR17045222,SRR17045223,SRR17045226,SRR17045227
ASV_1,932,0,0,0
ASV_10,0,373,0,0
ASV_100,0,135,0,0
ASV_1000,0,0,0,32
ASV_10000,0,1,10,0
ASV_10001,0,0,6,0
ASV_10002,0,0,3,1
ASV_10003,0,0,6,1
ASV_10004,0,0,9,0
ASV_10005,0,0,4,0
ASV_10006,0,1,6,2
ASV_10007,0,0,4,0
ASV_10008,5,0,6,0
ASV_10009,0,0,9,3
ASV_1001,0,0,0,29
ASV_10010,0,1,4,0
ASV_10011,0,0,9,2
ASV_10012,2,1,8,1
ASV_10013,0,0,8,0
ASV_10014,0,0,4,0
ASV_10015,0,1,4,0
ASV_10016,2,1,9,0
ASV_10017,0,0,6,0
ASV_10018,1,0,7,0
ASV_10019,0,0,5,0
ASV_1002,0,0,0,28
ASV_10020,1,0,3,0
ASV_10021,1,0,4,0
ASV_10022,0,0,3,0
ASV_10023,0,0,4,0
ASV_10024,0,0,3,1
ASV_10025,0,0,8,0
ASV_10026,0,0,3,0
ASV_10027,0,0,5,0
ASV_10028,0,0,3,0
ASV_10029,0,0,3,0
ASV_1003,0,0,0,27
ASV_10030,0,0,3,0
ASV_10031,0,0,3,0
ASV_10033,0,0,4,0
ASV_10034,1,0,5,0
ASV_10035,0,0,6,0
ASV_10036,0,0,5,0
ASV_10037,1,0,7,0
ASV_10038,2,0,5,0
ASV_10039,0,1,7,3
ASV_1004,0,0,0,34
ASV_10040,0,0,7,0
ASV_10041,0,0,4,0
ASV_10042,0,0,6,0
ASV_10043,0,0,7,0
ASV_10044,0,0,5,0
ASV_10045,0,0,5,0
ASV_10046,0,0,5,1
ASV_10047,0,0,5,0
ASV_10048,0,0,4,0
ASV_10049,0,0,7,0
ASV_1005,0,0,0,37
ASV_10050,1,0,6,0
ASV_10051,0,0,6,0
ASV_10052,0,0,8,1
ASV_10053,0,0,5,1
ASV_10054,0,0,6,0
ASV_10055,0,0,4,1
ASV_10056,0,0,6,2
ASV_10057,3,2,9,5
ASV_10058,0,0,6,0
ASV_10059,0,0,4,0
ASV_1006,0,0,0,31
ASV_10060,0,2,4,1
ASV_10061,0,0,6,0
ASV_10062,2,1,5,0
ASV_10063,0,0,3,0
ASV_10064,1,0,7,0
ASV_10065,0,0,4,0
ASV_10066,0,0,3,0
ASV_10067,0,0,4,0
ASV_10068,0,0,6,0
ASV_10069,0,0,3,0
ASV_1007,28,0,0,0
ASV_10070,0,0,7,0
ASV_10071,0,0,3,0
ASV_10072,0,0,3,0
ASV_10073,0,0,4,0
ASV_10074,0,0,5,0
ASV_10075,0,0,4,0
ASV_10076,0,0,5,0
ASV_10077,2,0,5,0
ASV_10078,0,0,4,0
ASV_10079,0,0,5,0
ASV_1008,33,0,0,0
ASV_10080,0,0,3,0
ASV_10081,0,0,9,0
ASV_10082,0,0,5,0
ASV_10083,0,0,6,0
ASV_10084,0,0,4,0
ASV_10085,0,0,12,0
ASV_10086,0,1,5,3
ASV_10087,0,0,6,1
ASV_10088,0,0,11,0
ASV_10089,0,0,6,1
ASV_1009,30,0,0,0
ASV_10090,0,0,6,0
ASV_10091,0,0,6,0
ASV_10092,0,0,5,0
ASV_10093,0,0,5,1
ASV_10094,0,0,4,0
ASV_10095,0,0,6,0
ASV_10096,0,0,3,0
ASV_10097,3,0,6,0
ASV_10098,0,0,8,1
ASV_10099,0,1,5,0
ASV_101,141,0,0,0
ASV_1010,29,0,0,0
ASV_10100,0,0,5,0
ASV_10101,0,0,3,1
ASV_10102,0,0,4,0
ASV_10103,0,0,6,0
ASV_10104,0,0,4,1
ASV_10105,0,0,7,2
ASV_10106,0,0,6,0
ASV_10107,0,0,3,0
ASV_10109,0,0,7,0
ASV_1011,31,0,0,0
ASV_10110,0,0,3,0
ASV_10111,0,0,5,0
ASV_10112,0,0,3,0
ASV_10113,3,0,4,0
ASV_10114,0,0,3,0
ASV_10115,0,1,4,0
ASV_10116,1,2,8,1
ASV_10117,0,1,9,0
ASV_10118,0,0,4,0
ASV_10119,0,0,4,1
ASV_1012,35,0,0,0
ASV_10120,0,0,5,1
ASV_10121,0,0,5,0
ASV_10122,0,0,4,0
ASV_10123,0,1,3,0
ASV_10124,0,0,4,1
ASV_10125,2,0,4,0
ASV_10126,0,0,8,0
ASV_10127,0,0,3,0
ASV_10128,2,0,10,1
ASV_10129,0,0,5,1
ASV_1013,26,0,0,0
ASV_10130,0,0,3,1
ASV_10131,0,0,5,1
ASV_10132,0,0,3,0
ASV_10133,0,0,4,0
ASV_10134,0,0,6,0
ASV_10135,3,0,4,3
ASV_10136,0,0,3,1
ASV_10137,0,0,6,0
ASV_10138,1,0,6,0
ASV_10139,0,0,8,1
ASV_1014,0,29,0,0
ASV_10140,0,0,5,0
ASV_10141,0,0,3,1
ASV_10142,0,0,4,0
ASV_10143,0,0,5,0
ASV_10144,0,2,3,0
ASV_10145,0,3,18,1
ASV_10146,0,0,4,0
ASV_10147,0,5,5,1
ASV_10148,0,1,10,0
ASV_10149,0,0,3,0
ASV_1015,0,25,0,0
ASV_10150,0,0,3,0
ASV_10151,0,0,7,0
ASV_10152,0,0,5,0
ASV_10153,0,0,4,0
ASV_10154,0,0,3,0
ASV_10155,0,0,4,1
ASV_10156,0,0,4,0
ASV_10157,0,0,6,0
ASV_10158,0,0,7,1
ASV_10159,0,0,3,1
ASV_1016,0,28,0,0
ASV_10160,0,0,4,0
ASV_10161,1,0,4,0
ASV_10162,2,1,6,0
ASV_10163,1,5,4,0
ASV_10164,0,0,4,0
ASV_10165,0,0,4,1
ASV_10166,0,0,4,0
ASV_10167,0,0,5,2
ASV_10168,0,0,4,0
ASV_10169,0,0,5,0
ASV_1017,0,28,0,1
ASV_10170,0,0,3,0
ASV_10171,0,0,4,0
ASV_10172,0,0,5,0
ASV_10173,0,0,5,0
ASV_10174,0,0,5,0
ASV_10175,1,0,4,0
ASV_10176,0,0,3,0
ASV_10177,0,0,4,0
ASV_10178,0,0,3,0
ASV_10179,0,0,3,0
ASV_1018,0,30,0,0
ASV_10180,0,0,5,0
ASV_10181,0,0,6,0
ASV_10182,0,0,3,0
ASV_10183,2,0,7,0
ASV_10184,0,1,5,0
ASV_10185,0,0,4,1
ASV_10186,0,0,7,1
ASV_10187,0,0,3,0
ASV_10188,0,0,8,0
ASV_10189,0,0,4,0
ASV_1019,0,27,0,0
ASV_10190,0,1,5,0
ASV_10191,0,0,4,0
ASV_10192,0,0,7,0
ASV_10193,0,0,5,0
ASV_10195,0,0,4,4
ASV_10196,0,0,7,0
ASV_10197,0,0,5,1
ASV_10198,0,0,3,1
ASV_10199,1,0,6,0
ASV_102,0,143,0,0
ASV_1020,0,32,0,0
ASV_10200,0,0,5,0
ASV_10201,0,0,4,0
ASV_10202,0,0,3,0
ASV_10203,0,0,4,0
ASV_10204,1,0,7,0
ASV_10205,0,0,3,0
ASV_10206,0,0,6,0
ASV_10207,0,0,5,0
ASV_10208,0,0,5,0
ASV_10209,0,1,7,0
ASV_1021,0,28,0,0
ASV_10210,0,0,5,0
ASV_10211,0,0,5,0
ASV_10212,0,0,3,0
ASV_10213,0,0,4,0
ASV_10214,0,0,5,0
ASV_10215,0,0,5,0
ASV_10217,0,0,4,1
ASV_10218,0,2,7,0
ASV_10219,0,0,8,0
ASV_1022,0,30,0,0
ASV_10220,0,0,4,0
ASV_10221,0,0,6,0
ASV_10222,0,0,3,0
ASV_10223,0,0,12,0
ASV_10224,0,2,5,0
ASV_10225,0,0,3,0
ASV_10226,0,0,4,0
ASV_10227,0,0,7,0
ASV_10228,0,0,4,0
ASV_10229,0,0,9,0
ASV_1023,0,32,0,0
ASV_10230,0,0,8,1
ASV_10231,0,0,5,0
ASV_10232,0,0,8,0
ASV_10233,0,0,3,0
ASV_10234,1,0,3,0
ASV_10235,0,1,7,2
ASV_10236,0,0,7,0
ASV_10237,0,0,5,0
