#NAME	Ev13.B	Ev14.B	Ev17a.B	Ev18a.B	Ev18b.B	Ev19b.B	Ev20.B	Ev21a.B	Ev22a.B	Ev24.B	Ev3.B	Ev4.B	Pg19.B	Pg20.B	Pg21.B	Pg22.B	Pg25.B	Pg26.B	Pg29.B	Pg30.B	Pg31.B	Pg32.B	Pg33.B	Pg35.B
4a1ca0ef933f9f4434135c1455ea37c6	1942	3119	4891	2908	4979	2537	7427	5906	5260	4996	5291	5263	1283	4702	4698	4728	2127	2446	2677	1731	2270	2837	1422	2469
acf34e45f641c017efee2f8d5b62c68d	4719	6273	11313	7887	11728	4584	12977	13502	2963	3098	435	327	109	302	383	607	335	228	157	295	0	165	0	16
6795a2c948418fc4a224900c92689fad	6291	6773	726	7460	1021	6693	174	422	3288	3707	3016	1661	0	0	0	0	35	84	91	292	43	67	31	1825
e331ac2bb766154abcb1524d6bc30fcc	1517	1636	3586	2419	4295	1361	5124	4817	3004	2929	3188	2762	38	109	114	59	230	194	882	634	1162	1029	353	61
0b2fc5c80291fc39d9015e3be1a8ee67	721	1216	156	1361	720	662	217	674	5690	5703	10827	11044	22	17	29	3	69	0	239	0	426	156	143	41
9a4e213bdbac040eceb30825bf0c0fa2	4121	6553	3855	5965	2037	4658	2869	2556	0	0	0	0	40	177	182	215	1362	545	0	0	14	13	0	7
66012bb025b201b70d944c0ae82fa0d1	1841	310	1427	425	894	1039	171	203	144	284	486	513	0	15	4	20	17	58	2644	5390	5626	1523	7249	455
093574253aa80bdb4bbb5ccaccdf04e7	265	432	288	478	681	312	1167	786	130	152	109	55	533	1992	2164	3592	4966	2524	1639	1600	1641	1191	1162	242
3e81f9a07f502a2c138c409df5930cc9	1924	2150	2738	2823	2820	1739	3501	4887	50	86	0	0	242	721	781	110	124	32	91	122	331	110	0	0
faf010f956dd241fe649114a4a31c633	145	206	303	48	188	133	583	384	271	253	90	130	1109	3809	3696	2384	513	292	524	929	362	451	134	6558
bba42a6563e0400ef8c1bbe5ebbb4396	240	323	671	421	766	219	1393	1114	1328	1413	2330	2223	18	51	48	0	139	47	2237	1129	2640	1769	1153	131
969dedbe0c2a6b1c2e2953339593926c	342	596	1425	671	1417	660	2473	1794	191	191	190	217	335	951	1053	196	238	134	1407	1051	1046	1037	550	2947
96d0f816130691843827c7bfc9d13bc8	3220	288	1498	746	1301	1545	106	324	226	269	281	150	0	0	0	0	0	0	806	2058	1854	664	2449	92
8b25455afb79fbcf32f4519eb0ac9d7d	371	370	189	305	340	238	382	477	2026	2057	4779	4369	0	0	23	0	36	0	164	294	415	75	146	82
774dddfcbcdd4e14e7620cf28e1009cf	2299	3060	812	4104	522	2546	101	430	608	678	1105	777	0	0	0	0	0	0	0	0	0	0	0	0
309e7d8e97c7f824e5063260dd445b1f	1901	91	1138	334	617	838	184	148	106	144	430	388	0	0	6	0	0	6	673	2351	1999	416	3662	99
37d0b9a631cde00bfcb23c6b219579b1	0	51	875	32	437	0	604	391	137	176	73	90	0	0	0	0	295	39	2331	2991	2339	2424	1125	152
fe89ee3460880218f2528b6aa9d7805a	0	0	0	0	0	0	0	0	0	0	0	0	1311	6057	6385	98	61	0	0	0	0	0	0	6
86788dd072a36678b93a76a6c563f207	30	30	6	127	111	47	96	41	0	0	0	0	1206	5574	5504	32	48	24	77	194	133	81	135	36
72f79d478c6071db29c206e099cf1f6d	120	143	367	233	122	139	401	417	49	59	0	23	249	894	889	1478	2327	1056	483	509	537	874	383	147
b7f7f439c38ae78aaa7059b32da020bc	819	848	66	754	149	759	125	99	318	340	745	562	16	8	40	0	78	46	1335	934	1566	862	1112	57
71b52980255596a2c8240e38a93d12f7	10	11	28	0	0	6	0	19	110	120	40	29	35	39	63	9474	550	746	0	0	0	9	0	0
cb841265848e2c7663f87509cf91602c	23	67	0	48	0	27	0	0	57	87	37	90	58	104	177	85	2582	4664	854	207	809	817	122	353
9d985751cbb8631b45d12a80c324adbf	0	23	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	5954	793	619	1933	576	4
