# Constructed from biom file																																																																																				
#OTU ID	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	taxonomy
b585436677ac88dd4ac6239655f2a268	1777	1311	1284	2633	4790	1246	991	1784	1653	1205	1165562	1329528	840880	26856	83198	854398	1317349	370784	3000254	184182	786460	587469	1020960	322450	23497	8753	2042316	3904475	13385	10964	17045	1261	11250	6946	16275	2299	2363	1422	1340	1826	3036	1752	867	1423	712212	1278	2858	1336	582278	284111	125515	12546	217957	202052	194638	184372	3442	1548	4093	3519	899	779	15141	93505	817649	114290	14234	1680	1901	1119	2530	1513	735	733	1153	2564	1500	400	1751	255	1014	783	953	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__Vibrio_metschnikovii
9174f3b58f570c5ef1d0c24f302b7748	4	635	2	6	108	439	504	826	3	548	9	14	20	6	10	193	4164	4471	2872	9	2471	12	510	14168	11777	14790	11463	15132	4093973	5133190	3239524	840809	2516631	8846	14624	18	37	23	664	744	3926	4540	442	5	2349	506	14	604	937	896	758	1053	3486	4075	3434	934	2459	4	1010	8	6	14	17	111	1805	2051	1318	75	1135	3425	2374	1028	54	4	9	188	2174	2300	1487	9	2802	11	9	d__Bacteria; p__Firmicutes; c__Desulfitobacteriia; o__Desulfitobacteriales; f__Desulfitobacteriales; g__TC1; s__uncultured_bacterium
2d6c3138790cf3258f2a00236f4ec8cf	120269	166	228	569	1060	101	72	161	172	144	255	975	28	211	785	1608	313	1632	35	119	29207	43	287	1888	26	450	1367	2688	570	2891	24	138	157	13247	3110	91952	234	187544	2438	199	416	1448	107	319	383	88	513	145	158	329	588	1224	298	1056	181	226	239	658	274212	1111119	1126	691	2679	742906	29208	42645	1805	63390	1157	1124	1692	3729	6382	1019	1154153	1434903	361695	2219344	7552	43200	71014	3903	69	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales
04d31c3761a0d7e0b69d6ccdb509835e	1223	2874	1269	1669	2324	2745	1962	3452	1753	2312	1154163	630557	541082	11088	36878	686998	3273	3912	4640	3868	3429	1698	5170	1013	1570	702	1263	1303	1227	1756	1724	2666	1584	13	2245	1374	1772	1336	2763	3889	1555	1950	1971	1930	679936	2568	2079	2647	287933	288534	582178	17538	506694	870950	765925	806112	4979	0	6549	351	0	0	399	367	379	603	541	489	443	5	1197	310	2462	0	370	395	360	499	443	419	453	0	662	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio
bc5aed01bcb8760f74819e511e9dfc82	94	0	366	648	266	0	0	0	124	0	392	914	2028	1678	2337	1833	22547	127980	22786	65750	14322	36247	687561	227264	1131940	836161	1499710	557710	3832	5288	5338	0	4778	4525	6835	187	934	718	0	0	0	125	0	186	0	0	472	0	565	423	796	301	20	83	0	138	0	90	333	291	97	87	3779	2053	3628	15165	229	173074	169	154	533	109	443	159	644	238	0	76	22	294	0	101	268	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Chitinibacteraceae; g__Deefgea; s__Deefgea_sp.
285172e1225e4e0c22f05d6744764d9c	63642	155190	2120	2144	583939	197369	145688	173884	928968	133985	2539	22906	552	695	569	43047	535	607	661	58624	299711	476	655	10313	278	321	312	10400	325	243	367	3043	20541	142	292	2241	858	942	21391	173126	654	4790	175168	467433	150687	158791	782	74042	49574	72500	71880	202205	84207	25009	86179	93108	137920	162	50189	7963	155	189	161	3819	135	151	202	12653	62560	102	144	4381	206	172	231	8115	202	229	263	79635	74364	86	802	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia
e71fd2b4fc97ea6349012546e15c23c7	124	36	460	421	290	201	51	51	438	143	383	665	1561	1527	1349	1243	11522	72665	12923	37344	11125	18837	372119	118246	615732	424882	814601	302680	2449	5010	9075	130	4613	227623	32071	18155	144966	20912	17754	159	258	502	17	1055	521	308	697	21	586	677	499	298	73	318	175	571	174	819	406	1719	848	1040	30649	7394	40117	156582	7268	696931	204535	282228	243973	217	7426	1299	396	319	71	221	147	1525	457	1169	217	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Chitinibacteraceae; g__Deefgea; s__Deefgea_sp.
4df6b21667c0cadadc6ad5148314599c	276	896	1244	1111	358	2083	1794	2015	164	1496	495	641	1344	2449	1935	542	1156	133	1616	300	856	3480	866	2706	4679	6064	4823	3563	2703	7262	256975	1649	3979	685689	389590	525926	575861	236670	982293	1630	2035	2935	691	2070	2278	2429	2291	1036	2189	2969	2785	2325	1693	1662	2259	1648	1776	1452	2577	1898	608	2167	2114	1501	1711	4556	1751	60242	277674	443323	124318	7416	7912	1539	2344	73830	5701	597	835	2185	7580	1397	275	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Chromobacteriaceae; g__Crenobacter; s__Aquitalea_sp.
e3ff540238de9571284b437fb70a098e	0	28	0	0	0	14	15	33	0	38	0	0	0	0	0	6	1814	546	976	5	687	0	80	3758	3256	3301	2945	3717	1476501	460888	947680	27580	590020	2373	3813	0	0	0	27	21	1504	477	17	0	575	24	0	23	37	30	16	37	1016	327	625	36	403	0	44	0	0	0	0	0	842	256	535	0	324	17	121	0	40	0	0	0	815	225	474	8	309	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
26261a945ed433ede6f5cf3b830e9a65	24	11	695	130	288	16	255	83	79	148	264	160	528	1359	298	625	130	470	692	209	434	272	114752	22987	29322	51824	25181	411046	2049	361188	530902	318	271070	15618	285097	6103	7997	59761	3188	80	95	514	0	220	510	0	563	53	247	866	154	320	15	225	358	73	204	286	288	300	197	180	419	549	296	518	613	293	44576	187629	30743	23567	542982	379	5634	71816	4976	2165	1280	889	14660	228	153	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
