#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
b585436677ac88dd4ac6239655f2a268	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_metschnikovii
9174f3b58f570c5ef1d0c24f302b7748	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriales	TC1	uncultured_bacterium
2d6c3138790cf3258f2a00236f4ec8cf	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales			
04d31c3761a0d7e0b69d6ccdb509835e	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
bc5aed01bcb8760f74819e511e9dfc82	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Deefgea	Deefgea_sp.
285172e1225e4e0c22f05d6744764d9c	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	
e71fd2b4fc97ea6349012546e15c23c7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Deefgea	Deefgea_sp.
4df6b21667c0cadadc6ad5148314599c	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Crenobacter	Aquitalea_sp.
e3ff540238de9571284b437fb70a098e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
26261a945ed433ede6f5cf3b830e9a65	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
93bff8f26ce3bf25e3ad4130ecac1a62	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
1166077431405a1fe1723daef482602d	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	uncultured	
e925639e364d0fad75203805d3c861f7	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	
fd6bce8c2c3fe877217570de4c6dae96	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Kamptonema_PCC-6407	
73689cad6eb4e86d9d0bb48c0da24463	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	
6799e0b973e627a592fca7cfb0675070	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
915528f319063431cdc52dc9c0ee6117	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Aliidiomarina	Aliidiomarina_shirensis
edd3a23c3b85ffc47a9f5bb3139dd364	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	
f087289b39b97bb2cf021167992e1c7b	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
55f47e06fb9580066754a0fb66fbea5a	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	
25054830799640336ed1ff88e2384b06	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera	
0078952fa962d5b87f184d577d9ae150	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
ed2477db1935a016b1b32eb3fa087ac3	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
2f6901818cf2f5300522086797fc3110	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	
dabb6a0752ca84746e3e482925d7555f	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	
1b5f9674b655fe653427143086657e90	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae		
60d5bfc2360cacbb5e7945eea0faf0fe	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
9a49b51d9e1b48c4318ef6b4c6864862	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales			
fba63f703f57ef60b25cc949a39d912a	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	
e98cbe28e00f10f9bcedeaa4d5f5cbd6	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	
25fcf3d91e59d3e115f7bb09c8b846bd	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	
74db78f40813c5b3ffb7c63dcc265522	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	
4ffb930cfe83b8cdb1468840d9ed35bc	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae		
059e124ad6ba8f98c3d21db28a075ea8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae		
afbc0fc75a4bced9ee0f94c61c8f279b	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	
9c3fa0847bbb3b73c601b9bdaea01c92	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
162f2f20add487cef7d58c631cae6783	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
e2da3d47e935576bc554cf0efd8f8937	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
4db7a1d87dc74131e28f64ce19bb4ce6	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
a052dce1ca5d639858ec7cb4f007d92a	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	
9f4bf94807ff43c772c6acc200dd6d3b	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
5f95048c0d2cfb2ce40532232ba6678e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_fermentum
47b1b94a77cc654b089fc9fdacd46e07	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0b2b7abfd4e9e5eee68f07ee369428fc	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	
67b4709d791c473d95127ee070d73b45	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	
63c0214bafc23c3f84b8623d27e23cbc	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Aliidiomarina	
7b54528c068dabf2144dff83a931e28c	Bacteria	Proteobacteria					
b0395c4848376e9ef1ac5aa49acaa639	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Deefgea	Deefgea_sp.
6f8df2b719bf57a9cd4b692b86fc1d85	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter	
eb1d2f4a99d170aab8305db40c3bd2c1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera	
db9bcdd2cbd7f35b8397e3dbfdf14656	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
5d0f378e3cfbd92f31d1d4838163317a	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	
53fd02bcd3536c3e0d6795d3fdd38b88	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
ccd81608ca4de7a06cd6bd15381ca4c9	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
0aef9477917ac0d09eaa62f4740994dd	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriales	TC1	uncultured_bacterium
000b93da22f1fbd3c869db339bff3732	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	
91cdc6111fc2ba5842fb854d356f2ade	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
df93739ee550b31b2876b713d77cb80b	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	
