#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
4a1ca0ef933f9f4434135c1455ea37c6	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantivirga	Polaribacter_sp.
acf34e45f641c017efee2f8d5b62c68d	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
6795a2c948418fc4a224900c92689fad	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae		
e331ac2bb766154abcb1524d6bc30fcc	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantivirga	Polaribacter_sp.
0b2fc5c80291fc39d9015e3be1a8ee67	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
9a4e213bdbac040eceb30825bf0c0fa2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Lentibacter	
66012bb025b201b70d944c0ae82fa0d1	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	
093574253aa80bdb4bbb5ccaccdf04e7	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS3a_marine_group	
3e81f9a07f502a2c138c409df5930cc9	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NS9_marine_group	uncultured_Flavobacterium
faf010f956dd241fe649114a4a31c633	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	
bba42a6563e0400ef8c1bbe5ebbb4396	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	
969dedbe0c2a6b1c2e2953339593926c	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	
96d0f816130691843827c7bfc9d13bc8	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	
8b25455afb79fbcf32f4519eb0ac9d7d	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
774dddfcbcdd4e14e7620cf28e1009cf	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Litoribacillus	gamma_proteobacterium
309e7d8e97c7f824e5063260dd445b1f	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	
37d0b9a631cde00bfcb23c6b219579b1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae		
fe89ee3460880218f2528b6aa9d7805a	Bacteria						
86788dd072a36678b93a76a6c563f207	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	
72f79d478c6071db29c206e099cf1f6d	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS3a_marine_group	
b7f7f439c38ae78aaa7059b32da020bc	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	
71b52980255596a2c8240e38a93d12f7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
cb841265848e2c7663f87509cf91602c	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	
9d985751cbb8631b45d12a80c324adbf	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Spongiispira	Spongiispira_norvegica
eefae4152a4b01ef503d754d91a0dfda	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
